tag,type,name,mood,contents,description
100000000,300,,,10000000,场景切换：网吧外景
100000001,301,,,下雪,天气特效：下雪；
100000002,100,陈果,0,自从爸爸不在了以后，我放弃了已经拿到的大学通知书。,
100000003,100,陈果,0,日复一日守着这家网吧。,
100000004,100,陈果,0,网吧的名字叫兴欣，爸爸取的，虽然很土，可是我却不想改掉它。,
100000005,100,陈果,0,我很喜欢这个名字，也很喜欢网吧里的客人，以及这个网吧周围的环境。,
100000006,100,陈果,0,因为，就在网吧的对面，有着嘉世，在七届荣耀联赛中唯一夺得过三连冠，堪称‘王朝’的存在。,
100000007,100,陈果,0,虽然谁也无法将兴欣这样小小的网吧与名门嘉世联系起来，但作为一个喜欢荣耀、在其中投入了五年精力的玩家——比如我来说，即使能够靠近嘉世，也足够荣幸。,
100000008,100,陈果,0,如果，能够看到那位从来都没有露面过的、给嘉世带来三连冠的队长叶秋就好了。,
100000009,100,陈果,0,但是说起来，今年嘉世的表现却非常低靡，作为队长的叶秋，想必压力也是非常之大吧。,
100000010,100,陈果,0,哎呀，下雪了……,
100000011,100,陈果,0,伴随着嘉世仿佛被冰封的赛场表现，这个冬天的杭州，似乎也格外的冷呢。,
100000012,300,,,10000001,场景切换：网吧前台
100000013,101,叶修,1,开台机器，包夜。,匿名台词|情绪黯然
100000014,100,阿宁,0,C区47号机，请提供一下身份证。 …… 好了，咦，人呢？,
100000015,300,,,10000002,场景切换：C区47号机
100000016,101|102,叶修,2,这是…………,吃惊
100000017,200,,,10000,显示CG，陈果登场CG
100000018,100,陈果,3,快快快给我死------,凶狠
100000019,102,叶修,2,……这杀气……这妹子的脸可真有欺骗性啊。,心理活动|吃惊
100000020,100,陈果,4,输------输了？ 靠！,生气
100000021,201,,,,CG消失
100000022,100,陈果,0,上机啊？,
100000023,100,叶修,2,呃…………啊，是啊。,吃惊
100000024,100,陈果,0,坐这吧！,
100000025,300,,,10000001,场景切换：网吧前台
100000026,100,陈果,4,该死的，这次一定是个大高手。连打52局，我居然一把没赢，靠！,生气
100000027,100,老王,0,老板娘，你游戏没退啊？怎么那人玩起来了。,
100000028,102,陈果,2,不好！我的账号卡！ ,情绪吃惊
100000029,400,,,20000,跑步的声音
100000030,300,,,10000002,场景切换：C区47号机
100000031,100,陈果,2,喂-----快还我的账号卡！咦？这……不是吧？,吃惊
100000032,200,,,10001,叶修登场CG
100000033,102,陈果,4,电脑屏幕上，赫然是已经胜利的标志。,
100000034,102,陈果,4,从我离开到再跑回来，前后一共不会超过1分钟，这家伙，是用我的账号卡，打败了刚刚那个一连打败我52局的高手吗？,
100000035,102,陈果,4,这、这怎么可能！？,
100000036,100,叶修,0,啊，你回来啦。,
